#    L    TT             EE             BB             TE          
     2    0.24208E+04    0.21359E+00    0.27514E-05    0.13407E+02
     3    0.22165E+04    0.27639E+00    0.55077E-05    0.13285E+02
     4    0.20732E+04    0.26854E+00    0.91820E-05    0.12111E+02
     5    0.19719E+04    0.21385E+00    0.13776E-04    0.10502E+02
     6    0.19006E+04    0.14625E+00    0.19290E-04    0.88516E+01
     7    0.18511E+04    0.90124E-01    0.25726E-04    0.73580E+01
     8    0.18165E+04    0.54611E-01    0.33085E-04    0.61159E+01
     9    0.17936E+04    0.37138E-01    0.41369E-04    0.51506E+01
    10    0.17786E+04    0.30330E-01    0.50579E-04    0.44518E+01
    11    0.17681E+04    0.27495E-01    0.60717E-04    0.40004E+01
    12    0.17644E+04    0.24951E-01    0.71784E-04    0.37759E+01
    13    0.17645E+04    0.22356E-01    0.83782E-04    0.37153E+01
    14    0.17651E+04    0.20130E-01    0.96714E-04    0.37519E+01
    15    0.17670E+04    0.18921E-01    0.11058E-03    0.38517E+01
    16    0.17718E+04    0.19216E-01    0.12539E-03    0.39895E+01
    17    0.17794E+04    0.20622E-01    0.14113E-03    0.41434E+01
    18    0.17893E+04    0.22596E-01    0.15782E-03    0.42942E+01
    19    0.18003E+04    0.24878E-01    0.17545E-03    0.44297E+01
    20    0.18114E+04    0.27351E-01    0.19402E-03    0.45432E+01
    21    0.18227E+04    0.30187E-01    0.21355E-03    0.46430E+01
    22    0.18346E+04    0.33584E-01    0.23402E-03    0.47391E+01
    23    0.18470E+04    0.37569E-01    0.25545E-03    0.48336E+01
    24    0.18598E+04    0.42120E-01    0.27783E-03    0.49267E+01
    25    0.18729E+04    0.47192E-01    0.30117E-03    0.50217E+01
    26    0.18863E+04    0.52730E-01    0.32546E-03    0.51203E+01
    27    0.19001E+04    0.58668E-01    0.35072E-03    0.52179E+01
    28    0.19145E+04    0.64958E-01    0.37694E-03    0.53085E+01
    29    0.19292E+04    0.71641E-01    0.40412E-03    0.53873E+01
    30    0.19440E+04    0.78761E-01    0.43226E-03    0.54506E+01
    31    0.19591E+04    0.86272E-01    0.46137E-03    0.54961E+01
    32    0.19747E+04    0.94123E-01    0.49144E-03    0.55212E+01
    33    0.19908E+04    0.10234E+00    0.52248E-03    0.55221E+01
    34    0.20072E+04    0.11097E+00    0.55449E-03    0.54966E+01
    35    0.20237E+04    0.12006E+00    0.58746E-03    0.54517E+01
    36    0.20402E+04    0.12963E+00    0.62141E-03    0.53939E+01
    37    0.20570E+04    0.13966E+00    0.65631E-03    0.53181E+01
    38    0.20745E+04    0.15012E+00    0.69219E-03    0.52182E+01
    39    0.20925E+04    0.16103E+00    0.72902E-03    0.50968E+01
    40    0.21108E+04    0.17245E+00    0.76683E-03    0.49587E+01
    41    0.21293E+04    0.18440E+00    0.80559E-03    0.48072E+01
    42    0.21478E+04    0.19688E+00    0.84532E-03    0.46405E+01
    43    0.21666E+04    0.20985E+00    0.88601E-03    0.44558E+01
    44    0.21856E+04    0.22329E+00    0.92766E-03    0.42499E+01
    45    0.22049E+04    0.23717E+00    0.97026E-03    0.40199E+01
